"","id","Condition","category"
"1","A6NHL2","ResistantAT26533","NC"
"2","C9JRZ8-2","ResistantAT26533","NC"
"3","O00244","ResistantAT26533","NC"
"4","O00308","ResistantAT26533","NC"
"5","O14908","ResistantTNFa","NC"
"6","O14979","ResistantAT26533","CN"
"7","O43167","ResistantAT26533","NC"
"8","O60264","ResistantAT26533","NC"
"9","O60496","ResistantTNFa","NC"
"10","O75503","ResistantAT26533","NC"
"11","O95218","ResistantAT26533","NC"
"12","P00480","ResistantAT26533","NC"
"13","P01023","ResistantTNFa","NC"
"14","P01024","ResistantTNFa","NC"
"15","P01375","ResistantAT26533","ND"
"16","P01375","ResistantTNFa","ND"
"17","P02647","ResistantAT26533","NC"
"18","P02647","ResistantTNFa","NC"
"19","P02765","ResistantAT26533","ND"
"20","P02771","ResistantTNFa","NC"
"21","P02774-3","ResistantTNFa","NC"
"22","P02788","ResistantAT26533","NC"
"23","P05089-2","ResistantAT26533","NC"
"24","P05543","ResistantTNFa","ND"
"25","P06454","ResistantAT26533","ND"
"26","P06899","ResistantAT26533","NC"
"27","P07910","ResistantAT26533","CC"
"28","P08697","ResistantAT26533","NC"
"29","P09496-2","ResistantAT26533","NC"
"30","P11388-4","ResistantAT26533","CC"
"31","P12036","ResistantAT26533","NC"
"32","P13196","ResistantTNFa","CC"
"33","P14324","ResistantAT26533","NC"
"34","P16298-4","ResistantAT26533","NC"
"35","P17275","ResistantTNFa","NC"
"36","P18077","ResistantAT26533","NC"
"37","P20962","ResistantAT26533","NC"
"38","P21291","ResistantAT26533","NC"
"39","P22794-2","ResistantAT26533","ND"
"40","P27986-4","ResistantAT26533","NC"
"41","P30414","ResistantAT26533","NC"
"42","P36954","ResistantAT26533","NC"
"43","P41231","ResistantAT26533","NC"
"44","P47914","ResistantAT26533","CN"
"45","P50238","ResistantAT26533","NC"
"46","P50748","ResistantAT26533","NC"
"47","P51116","ResistantAT26533","NC"
"48","P56270-2","ResistantAT26533","NC"
"49","P62273-2","ResistantAT26533","NC"
"50","P62987","ResistantAT26533","CN"
"51","P63241-2","ResistantAT26533","NC"
"52","P82930","ResistantAT26533","NC"
"53","Q00536-2","ResistantAT26533","NC"
"54","Q01469","ResistantAT26533","NC"
"55","Q02446","ResistantAT26533","ND"
"56","Q03164-3","ResistantAT26533","NC"
"57","Q08170","ResistantAT26533","CN"
"58","Q13242","ResistantAT26533","CN"
"59","Q13405","ResistantAT26533","NC"
"60","Q13490","ResistantAT26533","CC"
"61","Q13885","ResistantAT26533","NC"
"62","Q15031","ResistantAT26533","NC"
"63","Q15404","ResistantAT26533","NC"
"64","Q15543","ResistantAT26533","NC"
"65","Q15653","ResistantAT26533","CN"
"66","Q15653","ResistantTNFa","CN"
"67","Q16629","ResistantAT26533","CC"
"68","Q2NKX8","ResistantAT26533","NC"
"69","Q502W6-6","ResistantAT26533","NC"
"70","Q58FG1","ResistantAT26533","NC"
"71","Q5KSL6","ResistantAT26533","ND"
"72","Q5SNV9-2","ResistantAT26533","NC"
"73","Q5T5Y3-3","ResistantAT26533","NC"
"74","Q5UE93","ResistantAT26533","ND"
"75","Q6NS38","ResistantAT26533","NC"
"76","Q6PHR2-4","ResistantAT26533","NC"
"77","Q6ZN55-2","ResistantAT26533","NC"
"78","Q7L2K0","ResistantAT26533","ND"
"79","Q7Z406-2","ResistantAT26533","NC"
"80","Q8IUE6","ResistantAT26533","NC"
"81","Q8N9N2-2","ResistantAT26533","NC"
"82","Q8NBQ5","ResistantAT26533","CN"
"83","Q8NCQ2","ResistantAT26533","CC"
"84","Q8TDC3-2","ResistantAT26533","NC"
"85","Q8WUH1","ResistantAT26533","NC"
"86","Q8WW12","ResistantAT26533","NC"
"87","Q8WXI2","ResistantAT26533","NC"
"88","Q92575","ResistantAT26533","NC"
"89","Q92597","ResistantAT26533","NC"
"90","Q969T7","ResistantAT26533","ND"
"91","Q96A35","ResistantAT26533","NC"
"92","Q96BX8","ResistantTNFa","NC"
"93","Q96DC7-2","ResistantAT26533","NC"
"94","Q96EX1","ResistantAT26533","ND"
"95","Q96GG9","ResistantAT26533","NC"
"96","Q96MX3","ResistantAT26533","ND"
"97","Q96NC0","ResistantAT26533","NC"
"98","Q96Q11","ResistantAT26533","NC"
"99","Q99571-2","ResistantAT26533","NC"
"100","Q99807","ResistantAT26533","NC"
"101","Q9BPW8","ResistantAT26533","NC"
"102","Q9BRP1","ResistantAT26533","NC"
"103","Q9BT67","ResistantAT26533","ND"
"104","Q9H009","ResistantAT26533","ND"
"105","Q9H5Q4","ResistantAT26533","NC"
"106","Q9H7B2","ResistantAT26533","NC"
"107","Q9NPI6","ResistantAT26533","NC"
"108","Q9NVJ2","ResistantAT26533","NC"
"109","Q9NWU5","ResistantAT26533","NC"
"110","Q9NXV2","ResistantAT26533","NC"
"111","Q9NZN5","ResistantTNFa","NC"
"112","Q9P015","ResistantAT26533","NC"
"113","Q9P1F3","ResistantAT26533","NC"
"114","Q9P281","ResistantAT26533","ND"
"115","Q9P2E9","ResistantAT26533","CN"
"116","Q9UBK7-3","ResistantAT26533","NC"
"117","Q9UBQ5","ResistantAT26533","NC"
"118","Q9UJC5","ResistantTNFa","ND"
"119","Q9UKM9","ResistantAT26533","CC"
"120","Q9UKM9","ResistantTNFa","CN"
"121","Q9UMX0","ResistantAT26533","NC"
"122","Q9UNX3","ResistantAT26533","NC"
"123","Q9Y2R9","ResistantAT26533","NC"
"124","Q9Y4G6","ResistantAT26533","NC"
"125","Q9Y6X6","ResistantAT26533","NC"
