id	description	37C_B1_G1	37C_B1_G2	37C_B1_S	37C_B2_G1	37C_B2_G2	37C_B2_S	37C_B3_G1	37C_B3_G2	37C_B3_S	47C_B1_G1	47C_B1_G2	47C_B1_S	47C_B2_G1	47C_B2_G2	47C_B2_S	47C_B3_G1	47C_B3_G2	47C_B3_S	50C_B1_G1	50C_B1_G2	50C_B1_S	50C_B2_G1	50C_B2_G2	50C_B2_S	50C_B3_G1	50C_B3_G2	50C_B3_S	52C_B1_G1	52C_B1_G2	52C_B1_S	52C_B2_G1	52C_B2_G2	52C_B2_S	52C_B3_G1	52C_B3_G2	52C_B3_S	54C_B1_G1	54C_B1_G2	54C_B1_S	54C_B2_G1	54C_B2_G2	54C_B2_S	54C_B3_G1	54C_B3_G2	54C_B3_S	57C_B1_G1	57C_B1_G2	57C_B1_S	57C_B2_G1	57C_B2_G2	57C_B2_S	57C_B3_G1	57C_B3_G2	57C_B3_S	sumUniPeps	sumPSMs	countNum
A0AVT1	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	3166	3450.2	2563	3582.8	3443	3149.8	3383.4	3439.4	2800.4	3162.5	3393.4	2623	3730	3497.4	3126.2	3353.1	3517.1	3083	2265.8	2361.2	2349.3	2344.4	2231.9	2649.4	2297	2485.6	2720.3	1065.1	952.5	1359.3	931.4	952.7	1676	915.6	1032.9	1836.3	432.5	480.1	593.8	493.5	500.9	629.4	549.1	600	813.8	316.3	323.4	406.9	297.7	325	469.3	300	404.6	572.7	24.5	45	22
A0MZ66	Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	992.2	1081.2	840.9	1151.3	1088.9	935.1	1129.8	1112.7	835.9	1011.2	1006	883.3	1112.9	1071	1105.2	1025	1077.1	1014.4	1590.2	1667.6	1547.9	1645.8	1519.6	1607.8	1550.1	1818.1	1586.7	753.1000000000001	700.6000000000001	727	742.1000000000001	772.1000000000001	782.3999999999999	749.2	793.8999999999999	834.3	585.1	590.3	561.9	562.8	519.9	529.5	583.7	576.8	576.7	631.9	613	581.1	605.5	612.2	651.8	587.9	646.2	644	15	20.5	13.5
A1L0T0	2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2	169.5	109.3	227.7	122.2	126.1	289.8	116.6	104	260.9	99	83.2	122.1	96.4	83.7	179.3	84.6	89.7	172.5	183.2	144	336.5	170.1	145.6	426.7	148.4	155.1	452.4	95.2	93.8	128.6	103.8	96.2	175.19999999999996	98.2	93.7	161.9	136	130.8	192.2	144.9	143.3	254.3	168	135.2	301.4	84.2	99	88	105.4	91.6	107.4	96.1	104.1	121.3	4	4.5	3.5
A3KN83	Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1	1180.4	1460.9000000000003	1015.1	1470.4000000000003	1471.3	1330.2	1434.5999999999997	1579.7	1129.3	1414.1	1831.4	1243.5	1861.2	1892.6	1494.3	1724.4	1905.3	1500.5	1693.8	2212.4	1764.5	1938.7	2199	1775.7	2059.1	2662.3	1740.5	488.1	548.5	492.9	556.3	607.1	577.3	589.5	691.4	665.1	105.5	135.5	126.5	112.5	129.7	134.1	130.3	127.5	170.3	118.1	139.8	137.2	131.9	163.4	167	127.7	168.8	198.9	18.5	27	17
A4D1E9	GTP-binding protein 10 OS=Homo sapiens OX=9606 GN=GTPBP10 PE=1 SV=1	402.9	393.7	443.2	398.3	405.3	506.9	363.4	381.4	437.4	65.4	70.7	84	68.2	77.3	101.8	70.3	58.79999999999999	100.8	131.3	154.9	126.59999999999998	143.2	119.8	125.7	133.3	171.6	130.7	97.4	100	104.4	99.7	117.1	111.8	104.8	109.3	94.6	81.2	91.2	87.6	91.6	74.8	81.8	81.3	75.1	84.4	15.7	18.7	16.2	19.2	19.7	21.2	19.6	20.1	26.8	2.5	2.5	2.5
A4D1P6	WD repeat-containing protein 91 OS=Homo sapiens OX=9606 GN=WDR91 PE=1 SV=2	466.9	466.3	431.9	497.4	474.5	483.1	478.9	469.9	426	279.2	273.4	282.1	269.4	284	361.8	268.6	297.9	366.5	153.4	162.5	170.4	153.1	148.6	178.5	147.8	191.3	185.1	250.1	266.5	248.1	240	286.7	257.2	280.9	269.4	270.8	258.9	284.7	269.3	292	269	218.30000000000004	294.1	276.9	266.7	180.5	198.7	152.6	185.3	204.9	166.4	177.5	220.1	186.2	6.5	7.5	6
A5YKK6	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	1995.9	2231.7	1777.4	2281.2	2255	2137.4	2101.8	2213.1	1822.8	1689	1868.1	1584.3	1911.1	1836.2999999999997	1913.5	1849	1890.5	1788.2000000000003	1602.4	1775.6	1751.5	1677.3	1766.5	1748.8	1709.1	2133.1	1861.8	751.1	911	782.4	751.6	831.2	899.3	793.5	909.5	1044.6	491.1	580.2	529.6	584.4	642.1	531.5	571.2	619.9	685	280.1	288.6	300.1	305	323.6	332	305.8	371.5	438	33.5	42.5	27.5
A6NED2	RCC1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RCCD1 PE=1 SV=1	15.8	18.4	17.9	22.4	25.3	25	22.6	22.2	19.9	26.2	32	23.1	35	29.7	29.2	41.9	31.2	26.9	330.9	364.8	272.7	333.3	356.3	296.3	373.5	394.2	326.4	399.8999999999999	492.3999999999999	382.7	410.2	449.3999999999999	371.3	470.7	476.1000000000001	362.5	256.1	317.6	248.4	312.3	286.7	250.3	330.3	302.4	256.3	68.3	67.7	78.3	69.5	76.4	80.8	73.2	77.8	116	4.5	4.5	3.5
A6NHX0	Cytosolic arginine sensor for mTORC1 subunit 2 OS=Homo sapiens OX=9606 GN=CASTOR2 PE=1 SV=3	33.2	45.8	33.1	40.9	45.9	37.9	39.5	41.2	35.7	47	43.8	33.8	54	50.1	35.6	50.5	46.1	34.5	176.19999999999996	229.69999999999996	158.5	224.69999999999996	231.5	163.9	200	242	184.69999999999996	145.2	151	115.8	147	170.6	133.4	150.5	144.5	110.59999999999998	145.5	157.3	108.9	162.2	164	108.8	166	168.7	97.8	66.1	88.7	65.2	88.8	95.5	67.8	77.2	104	60	2.5	5.5	2.5
A6NIH7	Protein unc-119 homolog B OS=Homo sapiens OX=9606 GN=UNC119B PE=1 SV=1	97.5	116.7	90.2	119.3	119.59999999999998	101.59999999999998	118.59999999999998	124.09999999999998	96.3	228.4	285.2	226.7	279.5	296.8	265.8	272.6	267.7	260.8	121.6	132.5	123.8	122	133.4	120.9	127.3	152.1	125.3	58.9	59.3	59.4	70.7	66.1	61.8	63.8	67	74.5	34.4	34	33	38.8	44	28.5	38.6	43.8	46.5	29.6	48.9	32.9	30.7	43.5	36.4	39.8	40.2	40.5	2	2	2
