"","id","Condition","category"
"1","A6NCE7","Alpelisib6h","NC"
"2","A6ND36","Alpelisib1h","NC"
"3","A8K979","Alpelisib6h","NC"
"4","A8K979","Buparlisib6h","NC"
"5","O00458","Buparlisib1h","ND"
"6","O00567","Buparlisib6h","CN"
"7","O00762","Alpelisib6h","CC"
"8","O00762","Buparlisib6h","CC"
"9","O14832","Alpelisib6h","ND"
"10","O15042","Alpelisib6h","NC"
"11","O15042","Buparlisib6h","NC"
"12","O15254","Alpelisib6h","ND"
"13","O15254","Buparlisib6h","ND"
"14","O43524","Alpelisib1h","NC"
"15","O43524","Alpelisib6h","NC"
"16","O43524","Buparlisib1h","NC"
"17","O43660","Buparlisib6h","CC"
"18","O43715","Alpelisib6h","NC"
"19","O43715","Buparlisib6h","NC"
"20","O60271","Buparlisib6h","NC"
"21","O75367","Alpelisib6h","CC"
"22","O75380","Buparlisib6h","CC"
"23","O75400-3","Buparlisib6h","NC"
"24","O75438-2","Buparlisib6h","ND"
"25","O75506","Alpelisib6h","NC"
"26","O75506","Buparlisib6h","NC"
"27","O75531","Buparlisib6h","CC"
"28","O75534-4","Alpelisib6h","CN"
"29","O75534-4","Buparlisib6h","CC"
"30","O75569","Buparlisib6h","CC"
"31","O75794","Alpelisib6h","NC"
"32","O75794","Buparlisib6h","NC"
"33","O76021","Alpelisib6h","CC"
"34","O76021","Buparlisib6h","CN"
"35","O76080","Alpelisib6h","NC"
"36","O95182","Alpelisib6h","ND"
"37","O95182","Buparlisib6h","ND"
"38","O95218","Alpelisib6h","NC"
"39","O95218","Buparlisib6h","NC"
"40","P02545","Buparlisib6h","CN"
"41","P02787","Buparlisib6h","ND"
"42","P02788","Alpelisib6h","NC"
"43","P02788","Buparlisib6h","NC"
"44","P04150-3","Buparlisib1h","NC"
"45","P05386","Alpelisib6h","CN"
"46","P05386","Buparlisib6h","CC"
"47","P05388","Alpelisib6h","CC"
"48","P05388","Buparlisib6h","CN"
"49","P05455","Alpelisib6h","NC"
"50","P05455","Buparlisib6h","NC"
"51","P06400","Alpelisib6h","NC"
"52","P06400","Buparlisib6h","NC"
"53","P06730-2","Alpelisib1h","NC"
"54","P06730-2","Alpelisib6h","NC"
"55","P06730-2","Buparlisib1h","NC"
"56","P06730-2","Buparlisib6h","NC"
"57","P07910","Buparlisib6h","CN"
"58","P07954","Buparlisib6h","NC"
"59","P08069","Alpelisib6h","ND"
"60","P08621","Buparlisib6h","CN"
"61","P08865","Alpelisib6h","CC"
"62","P08865","Buparlisib6h","CN"
"63","P09669","Buparlisib6h","ND"
"64","P09874","Alpelisib6h","NC"
"65","P09874","Buparlisib6h","NC"
"66","P09884","Buparlisib6h","NC"
"67","P0C0S5","Buparlisib6h","NC"
"68","P0DMM9-3","Buparlisib1h","NC"
"69","P0DP23","Alpelisib6h","NC"
"70","P10644","Alpelisib6h","CC"
"71","P10644","Buparlisib6h","NC"
"72","P11387","Buparlisib6h","CN"
"73","P11498","Buparlisib6h","NC"
"74","P12268","Alpelisib6h","NC"
"75","P13073","Alpelisib6h","NC"
"76","P13073","Buparlisib6h","NC"
"77","P14854","Alpelisib6h","CC"
"78","P14854","Buparlisib6h","CC"
"79","P14866","Buparlisib6h","NC"
"80","P15104","Buparlisib6h","CC"
"81","P15880","Buparlisib6h","CN"
"82","P17275","Buparlisib6h","NC"
"83","P17661","Buparlisib1h","ND"
"84","P18077","Buparlisib6h","CC"
"85","P18124","Alpelisib6h","CC"
"86","P18124","Buparlisib6h","CC"
"87","P18583-9","Buparlisib6h","CC"
"88","P18621-3","Buparlisib6h","CC"
"89","P18859-2","Alpelisib6h","ND"
"90","P18859-2","Buparlisib6h","ND"
"91","P19367-3","Buparlisib1h","NC"
"92","P19623","Alpelisib6h","NC"
"93","P19623","Buparlisib6h","NC"
"94","P20674","Alpelisib6h","CN"
"95","P20674","Buparlisib6h","CC"
"96","P20700","Buparlisib6h","CC"
"97","P21741","Buparlisib6h","ND"
"98","P22626","Buparlisib6h","CN"
"99","P23246","Buparlisib6h","CC"
"100","P23396","Buparlisib6h","CC"
"101","P24385","Alpelisib6h","CC"
"102","P24385","Buparlisib6h","CC"
"103","P25398","Alpelisib6h","CC"
"104","P25398","Buparlisib6h","CC"
"105","P25490","Buparlisib6h","NC"
"106","P25929","Buparlisib1h","ND"
"107","P26368","Buparlisib6h","CN"
"108","P27635","Alpelisib6h","CC"
"109","P27635","Buparlisib6h","CN"
"110","P27824-2","Alpelisib6h","CC"
"111","P27824-2","Buparlisib6h","CC"
"112","P29992","Alpelisib1h","ND"
"113","P30038","Alpelisib1h","NC"
"114","P30038","Buparlisib1h","NC"
"115","P30038","Buparlisib6h","NC"
"116","P30049","Alpelisib6h","NC"
"117","P30049","Buparlisib6h","CC"
"118","P30050","Alpelisib6h","CN"
"119","P30050","Buparlisib6h","CN"
"120","P30281","Alpelisib6h","CC"
"121","P30281","Buparlisib6h","CN"
"122","P31321","Alpelisib6h","NC"
"123","P31321","Buparlisib6h","NC"
"124","P31350-2","Alpelisib6h","CN"
"125","P31350-2","Buparlisib6h","CN"
"126","P31751","Alpelisib6h","NC"
"127","P31751","Buparlisib6h","CC"
"128","P31942","Buparlisib6h","CN"
"129","P32455","Buparlisib1h","ND"
"130","P32969","Alpelisib6h","CC"
"131","P32969","Buparlisib6h","CC"
"132","P35268","Alpelisib6h","CC"
"133","P35268","Buparlisib6h","CN"
"134","P35790","Alpelisib6h","ND"
"135","P36578","Buparlisib6h","CN"
"136","P38936","Alpelisib6h","CN"
"137","P38936","Buparlisib6h","CN"
"138","P39019","Buparlisib6h","CC"
"139","P39023","Buparlisib6h","CN"
"140","P40429","Alpelisib6h","CN"
"141","P40429","Buparlisib6h","CN"
"142","P41743","Alpelisib6h","NC"
"143","P42766","Alpelisib6h","CN"
"144","P42766","Buparlisib6h","CN"
"145","P43243","Buparlisib6h","CN"
"146","P46087-2","Buparlisib6h","CN"
"147","P46776","Buparlisib6h","CC"
