id	frequency	totalCountNum	Tobe_id
A6NC98	4	6	A6NC98
A6NC98-3	1	1	A6NC98
O00139	4	31	O00139
O00139-2	3	31	O00139
O00429-2	5	29	O00429-2
O00429	4	103	O00429-2
O60506-3	3	38	O60506
O60506	4	117	O60506
O75122-3	3	50	O75122
O75122	5	10	O75122
O75955-2	2	8	O75955
O75955	5	39	O75955
O76041-2	3	5	O76041-2
O76041	2	2	O76041-2
O95260	4	9	O95260
O95260-2	2	11	O95260
P16383	2	8	P16383-3
P16383-3	4	14	P16383-3
P18583-6	2	7	P18583
P18583-3	1	5	P18583
P18583	4	13	P18583
P30622	3	147	P30622-2
P30622-2	5	119	P30622-2
P38606-2	3	69	P38606
P38606	4	134	P38606
P43487-2	2	22	P43487
P43487	5	48	P43487
P53367	4	23	P53367
P53367-2	4	18	P53367
P56377	2	2	P56377
P56377-2	1	2	P56377
Q04637	4	170	Q04637
Q04637-5	2	4	Q04637
Q04637-8	3	99	Q04637
Q07866-10	1	1	Q07866-3
Q07866	2	33	Q07866-3
Q07866-6	2	2	Q07866-3
Q07866-4	1	22	Q07866-3
Q07866-8	3	3	Q07866-3
Q07866-3	3	82	Q07866-3
Q12979	1	1	Q12979
Q12979	1	1	Q12979-3
Q12979-3	1	1	Q12979
Q12979-3	1	1	Q12979-3
Q13428-4	4	171	Q13428-3
Q13428-3	5	5	Q13428-3
Q13428	2	91	Q13428-3
Q13428-7	2	2	Q13428-3
Q14671-3	4	33	Q14671
Q14671	4	59	Q14671
Q14790-7	1	1	Q14790
Q14790-9	1	6	Q14790
Q14790	5	12	Q14790
Q14980-2	5	151	Q14980-2
Q14980	2	100	Q14980-2
Q15642	5	22	Q15642
Q15642-3	2	6	Q15642
Q15782	1	1	Q15782
Q15782	1	1	Q15782-5
Q15782-5	1	1	Q15782
Q15782-5	1	1	Q15782-5
Q2TAZ0	1	1	Q2TAZ0
Q2TAZ0	1	1	Q2TAZ0-4
Q2TAZ0-4	1	1	Q2TAZ0
Q2TAZ0-4	1	1	Q2TAZ0-4
Q4V328-4	3	12	Q4V328
Q4V328	5	57	Q4V328
Q5R372	4	20	Q5R372
Q5R372-5	4	11	Q5R372
Q6PJT7	5	41	Q6PJT7
Q6PJT7-6	1	1	Q6PJT7
Q6PJT7-9	1	9	Q6PJT7
Q6PJW8-2	3	9	Q6PJW8
Q6PJW8	4	16	Q6PJW8
Q6UN15	5	34	Q6UN15
Q6UN15-3	5	18	Q6UN15
Q6ZWJ1	3	5	Q6ZWJ1
Q6ZWJ1-2	1	1	Q6ZWJ1
Q70UQ0-4	5	25	Q70UQ0-4
Q70UQ0	3	4	Q70UQ0-4
Q86TP1-4	1	1	Q86TP1
Q86TP1	5	17	Q86TP1
Q8IXK0	5	9	Q8IXK0
Q8IXK0-3	1	1	Q8IXK0
Q8N490	2	4	Q8N490-2
Q8N490-2	5	9	Q8N490-2
Q8NCP5-2	5	10	Q8NCP5-2
Q8NCP5	5	5	Q8NCP5-2
Q8NDD1	5	22	Q8NDD1
Q8NDD1-6	3	21	Q8NDD1
Q8TCQ1	2	2	Q8TCQ1-2
Q8TCQ1-2	3	4	Q8TCQ1-2
Q8WXH0-5	1	1	Q8WXH0
Q8WXH0	4	7	Q8WXH0
Q96BT3	3	4	Q96BT3
Q96BT3-3	1	1	Q96BT3
Q96K21-3	1	1	Q96K21
Q96K21	5	41	Q96K21
Q9BRQ3	1	3	Q9BRQ3-2
Q9BRQ3-2	2	2	Q9BRQ3-2
Q9BTA9-3	1	1	Q9BTA9
Q9BTA9	3	7	Q9BTA9
Q9BU76	5	25	Q9BU76
Q9BU76-2	2	7	Q9BU76
Q9BWK5-4	5	7	Q9BWK5-4
Q9BWK5	4	6	Q9BWK5-4
Q9BXS6-6	5	13	Q9BXS6
Q9BXS6	5	47	Q9BXS6
Q9H4L7-2	4	24	Q9H4L7
Q9H4L7-2	4	24	Q9H4L7-2
Q9H4L7	4	24	Q9H4L7
Q9H4L7	4	24	Q9H4L7-2
Q9HCH5-12	1	1	Q9HCH5-8
Q9HCH5-8	4	7	Q9HCH5-8
Q9NP72	5	12	Q9NP72
Q9NP72-2	4	22	Q9NP72
Q9NP73	3	5	Q9NP73
Q9NP73-2	3	4	Q9NP73
Q9NYB9	2	2	Q9NYB9
Q9NYB9-3	1	1	Q9NYB9
Q9NYL2	3	6	Q9NYL2
Q9NYL2	3	6	Q9NYL2-2
Q9NYL2-2	3	6	Q9NYL2
Q9NYL2-2	3	6	Q9NYL2-2
Q9UHD8	5	166	Q9UHD8
Q9UHD8-7	2	34	Q9UHD8
Q9ULJ3	2	4	Q9ULJ3-2
Q9ULJ3-2	4	7	Q9ULJ3-2
Q9ULV3	4	38	Q9ULV3
Q9ULV3-2	2	20	Q9ULV3
Q9ULV3-3	2	3	Q9ULV3
Q9UM54-6	4	155	Q9UM54-6
Q9UM54-2	4	36	Q9UM54-6
Q9Y303	3	8	Q9Y303-3
Q9Y303-3	4	12	Q9Y303-3
Q9Y4D8	4	5	Q9Y4D8
Q9Y4D8-5	2	2	Q9Y4D8
