id	description	condition	B1_G1	B1_S	B1_G2	B2_G1	B2_S	B2_G2	B3_S	B3_G1	B3_G2	Mix	sumUniPeps	sumPSMs	countNum
P09543	2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Homo sapiens OX=9606 GN=CNP PE=1 SV=2	37C.1	986.1	838.1	776	837.7	1060	704.3	907.3	833	699.7	778.7	10	18	11
O43598	2'-deoxynucleoside 5'-phosphate N-hydrolase 1 OS=Homo sapiens OX=9606 GN=DNPH1 PE=1 SV=1	37C.1	267.3	238.3	280.9	314.7	246.3	301.7	233.5	318.8	287.3	248.8	4	18	3
A1L0T0	2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2	37C.1	169.5	227.7	109.3	122.2	289.8	126.1	260.9	116.6	104	185.7	4	8	4
P21953	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=BCKDHB PE=1 SV=2	37C.1	148.2	122.8	152.8	173.3	161.8	169.5	151.3	183.6	166.9	147.7	5	8	3
O75832	26S proteasome non-ATPase regulatory subunit 10 OS=Homo sapiens OX=9606 GN=PSMD10 PE=1 SV=1	37C.1	327.5	274	370.6	388.9	323.4	402.4	280.2	375.8	383.6	342.6	7	21	7
O00232	26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3	37C.1	4821.3	4060.1	5691.9	5598.9	4869	5652.1	4251	5380.9	5881.7	5097.3	2	127	33
O00487	26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens OX=9606 GN=PSMD14 PE=1 SV=1	37C.1	1195.7	1157.6	1482.1	1504.1	1173.1	1546.7	1107.2	1552.9	1488	1332.6	10	37	12
O43242	26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2	37C.1	3720.4	2939.2	4186.4	4071.3	3559.8	4019.9	3113.7	4093.6	4185.2	3478.6	25	118	26
O00233	26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens OX=9606 GN=PSMD9 PE=1 SV=3	37C.1	985.4	799.6	1140.8	1089.6	892.2	1060.9	762.5	1067.7	1098.9	951.6	8	22	9
P17980	26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3	37C.1	3283.4	2735.2	3909.1	3765.8	3433	3900.2	3058	3646.2	4009.3	3563	21	90	27
O15235	28S ribosomal protein S12, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS12 PE=1 SV=1	37C.1	246.6	232.7	274.6	295.3	245.9	242.8	241	253.9	255.4	234.1	3	6	3
P09110	3-ketoacyl-CoA thiolase, peroxisomal OS=Homo sapiens OX=9606 GN=ACAA1 PE=1 SV=2	37C.1	278.4	201.9	291.8	295.3	276.7	289.7	232.4	297.8	324.1	283.9	6	13	6
P09001	39S ribosomal protein L3, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL3 PE=1 SV=1	37C.1	80.1	80.5	72.3	90.8	118.6	74.1	114.1	87.9	79.5	76.8	5	7	3
O60825	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 OS=Homo sapiens OX=9606 GN=PFKFB2 PE=1 SV=2	37C.1	923.6	711.4	1011.4	1045.1	823.7	999.4	710	950.3	1007.2	870	10	26	13
